Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Trunk,4.76487494730375E-05,2.923407662081E-18,-0.00149054609006119,0,0,0,0.890086335791067,0.000900256485973754,-5.80967213552024E-08,-2.50071187842648E-06,0.00105210957104878,-1.11821583927368E-19,0.00113764498130775,0,0,0,0,0,0,package://fanfan/meshes/Trunk.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/Trunk.STL,,trunk.prt-1,floating_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,-0.00254455066643341,0.00301555430283414,-5.91031598662362E-11,0,0,0,0.182382758104873,8.65160018243943E-05,1.71129806055071E-07,-1.26836263098251E-11,0.000126418802690631,1.91882345371197E-11,8.23633275137325E-05,0,0,0,0,0,0,package://fanfan/meshes/FR_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/FR_hip.STL,,hip.prt-2,FR_hip_csys,FR_hip_axis,FR_hip_joint,revolute,0.19,-0.0451,0.00075,0,0,0,Trunk,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-4.10201853041359E-05,0.0236856170868251,-0.0161866588461634,0,0,0,0.271889491283218,0.000209541825498427,1.75934241322169E-07,2.6547799287037E-09,0.000286817074093782,1.62211717468432E-06,0.000125175526024567,0,0,0,0,0,0,package://fanfan/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/FR_thigh.STL,,thigh.prt-1,FR_thigh_csys,FR_thigh_axis,FR_thigh_joint,revolute,0,-0.076,0,0,0,0,FR_hip,0,1,0,0,0,0,0,,,,,,,,
FR_calf,1.06385134193698E-06,-4.78497337093181E-05,-0.045182712095273,0,0,0,0.0366494496507864,3.41498399378131E-05,3.93304685192619E-12,-9.06634742695245E-12,3.56394828186035E-05,4.31021563351556E-10,3.96439570057149E-06,0,0,0,0,0,0,package://fanfan/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/FR_calf.STL,,calf.prt-1,FR_calf_csys,FR_calf_axis,FR_calf_joint,revolute,0,0.0005,-0.15606,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_foot,-6.41674344215026E-09,-1.01800311097522E-08,-0.00416606089698812,0,0,0,0.0170815069275958,1.71999246637574E-06,-2.44359438374239E-11,7.68278291404044E-13,2.32735006575238E-06,-3.9331973157132E-12,2.15410219113014E-06,0,0,0,0,0,0,package://fanfan/meshes/FR_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/FR_foot.STL,,foot.prt-1,FR_foot_csys,Axis_FR_foot_fixed,FR_foot_fixed,fixed,0,0,-0.148941836101256,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
FL_hip,-0.00254455066643339,-0.00301555430283413,5.9103173744024E-11,0,0,0,0.182382758104873,8.65160018243943E-05,-1.71129806055104E-07,1.26836263067477E-11,0.000126418802690631,1.91882345354021E-11,8.23633275137324E-05,0,0,0,0,0,0,package://fanfan/meshes/FL_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/FL_hip.STL,,hip.prt-1,FL_hip_csys,FL_hip_axis,FL_hip_joint,revolute,0.19,0.0451,0.00075,0,0,0,Trunk,1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-4.12205700193458E-05,-0.0236859560700813,-0.0161848995884758,0,0,0,0.271886015407878,0.000209546707997414,-1.75999315702905E-07,-7.32105406094544E-11,0.000286821707463843,-1.62157531946039E-06,0.0001251753601044,0,0,0,0,0,0,package://fanfan/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/FL_thigh.STL,,thigh_mirror.prt-1,FL_thigh_csys,FL_thigh_axis,FL_thigh_joint,revolute,0,0.076,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,-1.06385134185372E-06,4.78497337092904E-05,-0.0451827120952731,0,0,0,0.0366494496507865,3.41498399378131E-05,3.93304684143953E-12,9.06634743023545E-12,3.56394828186035E-05,-4.310215633119E-10,3.9643957005715E-06,0,0,0,0,0,0,package://fanfan/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/FL_calf.STL,,calf.prt-2,FL_calf_csys,FR_calf_axis,FL_calf_joint,revolute,0,-0.0005,-0.15606,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,6.41674344215026E-09,1.01800311375078E-08,-0.00416606089698807,0,0,0,0.0170815069275958,1.71999246637575E-06,-2.44359438375544E-11,-7.68278292265204E-13,2.32735006575239E-06,3.93319731427374E-12,2.15410219113014E-06,0,0,0,0,0,0,package://fanfan/meshes/FL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/FL_foot.STL,,foot.prt-2,FL_foot_csys,Axis_FL_foot_fixed,FL_foot_fixed,fixed,0,0,-0.148941836101256,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
RR_hip,0.00254455066643344,0.00301555430283414,5.91031598662362E-11,0,0,0,0.182382758104873,8.65160018243943E-05,-1.71129806055104E-07,-1.26836263063663E-11,0.000126418802690631,-1.91882345356253E-11,8.23633275137324E-05,0,0,0,0,0,0,package://fanfan/meshes/RR_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/RR_hip.STL,,hip.prt-3,RR_hip_csys,RR_hip_axis,RR_hip_joint,revolute,-0.19,-0.0451,0.00075,0,0,0,Trunk,1,0,0,0,0,0,0,,,,,,,,
RR_thigh,-4.10201853042191E-05,0.023685617086825,-0.0161866588461635,0,0,0,0.271889491283218,0.000209541825498427,1.7593424132233E-07,2.6547799286651E-09,0.000286817074093783,1.62211717468432E-06,0.000125175526024567,0,0,0,0,0,0,package://fanfan/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/RR_thigh.STL,,thigh.prt-2,RR_thigh_csys,RR_thigh_axis,RR_thigh_joint,revolute,0,-0.076,0,0,0,0,RR_hip,0,1,0,0,0,0,0,,,,,,,,
RR_calf,1.06385134188147E-06,-4.78497337093042E-05,-0.0451827120952729,0,0,0,0.0366494496507865,3.4149839937813E-05,3.93304684703657E-12,-9.06634741005361E-12,3.56394828186034E-05,4.31021563316781E-10,3.9643957005715E-06,0,0,0,0,0,0,package://fanfan/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/RR_calf.STL,,calf.prt-3,RR_calf_csys,RR_calf_axis,RR_calf_joint,revolute,0,0.0005,-0.15606,0,0,0,RR_thigh,0,1,0,0,0,0,0,,,,,,,,
RR_foot,-6.41674346990584E-09,-1.01800311375078E-08,-0.00416606089698801,0,0,0,0.0170815069275957,1.71999246637573E-06,-2.44359438366321E-11,7.68278293081444E-13,2.32735006575238E-06,-3.93319731412739E-12,2.15410219113014E-06,0,0,0,0,0,0,package://fanfan/meshes/RR_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/RR_foot.STL,,foot.prt-3,RR_foot_csys,,RR_foot_fixed,fixed,0,0,-0.14894,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.00254455066643341,-0.00301555430283413,-5.91031598662362E-11,0,0,0,0.182382758104873,8.65160018243943E-05,1.71129806055105E-07,1.26836263068112E-11,0.000126418802690631,-1.9188234535843E-11,8.23633275137324E-05,0,0,0,0,0,0,package://fanfan/meshes/RL_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/RL_hip.STL,,hip.prt-4,RL_hip_csys,RL_hip_axis,RL_hip_joint,revolute,-0.19,0.0451,0.00075,0,0,0,Trunk,1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-4.12205700194013E-05,-0.0236859560700813,-0.0161848995884757,0,0,0,0.271886015407878,0.000209546707997414,-1.75999315702894E-07,-7.32105405776354E-11,0.000286821707463843,-1.6215753194604E-06,0.0001251753601044,0,0,0,0,0,0,package://fanfan/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/RL_thigh.STL,,thigh_mirror.prt-2,RL_thigh_csys,RL_thigh_axis,RL_thigh_joint,revolute,0,0.076,0,0,0,0,RL_hip,0,1,0,0,0,0,0,,,,,,,,
RL_calf,-1.06385134188147E-06,4.78497337093181E-05,-0.045182712095273,0,0,0,0.0366494496507864,3.41498399378131E-05,3.93304685101511E-12,9.06634742849319E-12,3.56394828186035E-05,-4.31021563338496E-10,3.96439570057148E-06,0,0,0,0,0,0,package://fanfan/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://fanfan/meshes/RL_calf.STL,,calf.prt-4,RL_calf_csys,RL_calf_axis,RL_calf_joint,revolute,0,-0.0005,-0.15606,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_foot,6.41674344215026E-09,1.01800310681188E-08,-0.00416606089698801,0,0,0,0.0170815069275958,1.71999246637575E-06,-2.44359438370125E-11,-7.68278288542147E-13,2.32735006575239E-06,3.93319731371416E-12,2.15410219113015E-06,0,0,0,0,0,0,package://fanfan/meshes/RL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/RL_foot.STL,,foot.prt-4,RL_foot_csys,,RL_foot_fixed,fixed,0,0,-0.14894,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
imu_link,9.26681649924025E-20,0,0,0,0,0,2.51327412287184E-05,3.35103216382912E-11,0,-1.49713495083165E-43,3.35103216382912E-11,-9.71364416034434E-44,5.02654824574367E-11,0,0,0,0,0,0,package://fanfan/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fanfan/meshes/imu_link.STL,,imu_link.asm-1,base_csys,,imu_fixed,fixed,0,0,0,0,0,0,Trunk,0,0,0,,,,,,,,,,,,
